% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_D - Lin_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
1623.776739188721                                 -3.5189682229227605E-12-7.0248095276520575i
1623.776739188721                                 -3.855147226945791E-6+7.014291706254651E-15i
1623.776739188721                                 -3.5189682229227605E-12+7.0248095276520575i
1623.776739188721                                 -3.855147226945791E-6-7.014291706254651E-15i
1623.776739188721                                 3.45367186833497E-12-7.024819934329493i
1623.776739188721                                 -3.8551430934259975E-6+2.66874672842082E-15i
1623.776739188721                                 3.45367186833497E-12+7.024819934329493i
1623.776739188721                                 -3.8551430934259975E-6-2.66874672842082E-15i
1623.776739188721                                 -4.661209525224406E-15-8.885765876150696i
1623.776739188721                                 -2.8534309672168546E-11-5.655370064645004E-18i
1623.776739188721                                 -4.661209525224406E-15+8.885765876150696i
1623.776739188721                                 -2.8534309672168546E-11+5.655370064645004E-18i
1623.776739188721                                 -1.3403100849730074E-10-9.934588265544559i
1623.776739188721                                 -0.3619442828229024+1.0746868246880054E-16i
1623.776739188721                                 -1.3403100849730074E-10+9.934588265544559i
1623.776739188721                                 -0.3619442828229024-1.0746868246880054E-16i
3359.818286283781                                 3.332873125654544E-14-4.442882938018425i
3359.818286283781                                 -0.8105694691149271
3359.818286283781                                 3.332873125654544E-14+4.442882938018425i
3359.818286283781                                 -0.8105694691149271
3359.818286283781                                 5.248907016517855E-13-7.024803964400144i
3359.818286283781                                 -7.9768382550689E-6-2.7472602306225157E-15i
3359.818286283781                                 5.248907016517855E-13+7.024803964400144i
3359.818286283781                                 -7.9768382550689E-6+2.7472602306225157E-15i
3359.818286283781                                 -3.940091682844644E-13-7.024825497250559i
