% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_D - Full_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
14384.498882876629                                -3.415157207192459E-5-5.21339766736812E-15i
14384.498882876629                                -1.008636358577357E-13-8.88576586636005i
14384.498882876629                                -2.797587428977795E-9-1.6692160164662375E-17i
14384.498882876629                                -1.008636358577357E-13+8.88576586636005i
14384.498882876629                                -2.797587428977795E-9+1.6692160164662375E-17i
14384.498882876629                                2.1068629328937222E-12-9.934588263627905i
14384.498882876629                                -0.36194425330560587+5.98287869255403E-17i
14384.498882876629                                2.1068629328937222E-12+9.934588263627905i
14384.498882876629                                -0.36194425330560587-5.98287869255403E-17i
29763.51441631313                                 -1.0160247210925216E-14-4.442882932812966i
29763.51441631313                                 -0.8105694672408291
29763.51441631313                                 -1.0160247210925216E-14+4.442882932812966i
29763.51441631313                                 -0.8105694672408291
29763.51441631313                                 3.3777000346534373E-12-7.024719347509414i
29763.51441631313                                 -7.066355304130172E-5+1.6317070956668063E-15i
29763.51441631313                                 3.3777000346534373E-12+7.024719347509414i
29763.51441631313                                 -7.066355304130172E-5-1.6317070956668063E-15i
29763.51441631313                                 -3.442107975611247E-12-7.024910099884148i
29763.51441631313                                 -7.066458213496759E-5-8.470503792585293E-16i
29763.51441631313                                 -3.442107975611247E-12+7.024910099884148i
29763.51441631313                                 -7.066458213496759E-5+8.470503792585293E-16i
29763.51441631313                                 3.900543699266105E-14-8.885765833672922i
29763.51441631313                                 -1.1992629756789906E-8-1.8222913882826226E-17i
29763.51441631313                                 3.900543699266105E-14+8.885765833672922i
29763.51441631313                                 -1.1992629756789906E-8+1.8222913882826226E-17i
29763.51441631313                                 9.47939505551144E-12-9.934588256532546i
29763.51441631313                                 -0.3619442164087744
29763.51441631313                                 9.47939505551144E-12+9.934588256532546i
29763.51441631313                                 -0.3619442164087744
61584.82110660255                                 8.873324971753746E-14-4.442882915266597i
61584.82110660255                                 -0.810569461013163
61584.82110660255                                 8.873324971753746E-14+4.442882915266597i
61584.82110660255                                 -0.810569461013163
61584.82110660255                                 -1.0224934541673967E-12-7.0246173531139435i
61584.82110660255                                 -1.4621150539780695E-4+3.723419587013947E-15i
61584.82110660255                                 -1.0224934541673967E-12+7.0246173531139435i
61584.82110660255                                 -1.4621150539780695E-4-3.723419587013947E-15i
61584.82110660255                                 8.417176531129602E-13-7.025012046102434i
61584.82110660255                                 -1.4621591113719596E-4+5.226803087069691E-15i
61584.82110660255                                 8.417176531129602E-13+7.025012046102434i
61584.82110660255                                 -1.4621591113719596E-4-5.226803087069691E-15i
61584.82110660255                                 -5.503751865870715E-14-8.88576569374672i
61584.82110660255                                 -5.133489626258774E-8+2.7787206511114453E-18i
61584.82110660255                                 -5.503751865870715E-14+8.88576569374672i
61584.82110660255                                 -5.133489626258774E-8-2.7787206511114453E-18i
61584.82110660255                                 -3.3651008825780617E-12-9.934588208114404i
61584.82110660255                                 -0.38210605449515406-5.05178840746609E-17i
61584.82110660255                                 -3.3651008825780617E-12+9.934588208114404i
61584.82110660255                                 -0.38210605449515406+5.05178840746609E-17i
127427.49857031321                                -7.716193342369893E-14-4.44288284015911i
127427.49857031321                                -0.8105694343506459
127427.49857031321                                -7.716193342369893E-14+4.44288284015911i
127427.49857031321                                -0.8105694343506459
127427.49857031321                                6.24649448095412E-12-7.024406259377768i
127427.49857031321                                -3.025268732864333E-4+1.3132904850242208E-15i
127427.49857031321                                6.24649448095412E-12+7.024406259377768i
127427.49857031321                                -3.025268732864333E-4-1.3132904850242208E-15i
127427.49857031321                                -6.402424769474248E-12-7.025222933527651i
127427.49857031321                                -3.0254574658316225E-4-2.3588937912741816E-15i
127427.49857031321                                -6.402424769474248E-12+7.025222933527651i
127427.49857031321                                -3.0254574658316225E-4+2.3588937912741816E-15i
127427.49857031321                                -1.835780774702006E-13-8.885765094674017i
127427.49857031321                                -2.1977223370612369E-7-3.307813710237395E-17i
127427.49857031321                                -1.835780774702006E-13+8.885765094674017i
127427.49857031321                                -2.1977223370612369E-7+3.307813710237395E-17i
127427.49857031321                                1.746389878624277E-11-9.93458801877606i
127427.49857031321                                -0.3821058676445643+6.080181039922594E-15i
127427.49857031321                                1.746389878624277E-11+9.93458801877606i
