% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_N - Full_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
3359.818286283781                                 -1.261797316426602E-5+6.2831861512624405i         -8.921143152685642E-6                             8.921143152685642E-6
3359.818286283781                                 -2.5351519472012766E-4+6.236423549724648E-4i      -7.061586126810552E-6-3.141592663903865i          3.1415926639118013
3359.818286283781                                 -8.921143152685642E-6                             -7.061586126810552E-6+3.141592663903865i          3.1415926639118013
3359.818286283781                                 -0.9999999999999996                               2.429401304865765E-6-4.4428829346429275i          4.442882934643592
3359.818286283781                                 -7.061586126810552E-6-3.141592663903865i          2.429401304865765E-6+4.4428829346429275i          4.442882934643592
3359.818286283781                                 -1.3292494609909095E-4+1.584009488404229E-8i      8.921143162307704E-6                              8.921143162307704E-6
3359.818286283781                                 -7.061586126810552E-6+3.141592663903865i          8.988597979335354E-6-3.1415926740336158i          3.141592674046475
3359.818286283781                                 -1.3292494609909095E-4-1.584009488404229E-8i      8.988597979335354E-6+3.1415926740336158i          3.141592674046475
6951.927961775606                                 -1.60459564322482E-5-6.283174663356486i           -1.60459564322482E-5-6.283174663356486i           6.283174663376975
6951.927961775606                                 -9.130055037274812E-4-4.942453569344591E-4i       -1.60459564322482E-5+6.283174663356486i           6.283174663376975
6951.927961775606                                 -1.60459564322482E-5+6.283174663356486i           8.050980236677443E-17-3.3967621652216347E-6i      3.3967621652216347E-6
6951.927961775606                                 -9.130055037274812E-4+4.942453569344591E-4i       8.050980236677443E-17+3.3967621652216347E-6i      3.3967621652216347E-6
6951.927961775606                                 8.050980236677443E-17-3.3967621652216347E-6i      2.638791032086088E-5-3.141586506615697i           3.1415865067265205
6951.927961775606                                 -1.0000000000001759                               2.638791032086088E-5+3.141586506615697i           3.1415865067265205
6951.927961775606                                 8.050980236677443E-17+3.3967621652216347E-6i      2.6226633986703582E-5-3.141598892709268i          3.1415988928187404
6951.927961775606                                 -1.0000000000001759                               2.6226633986703582E-5+3.141598892709268i          3.1415988928187404
6951.927961775606                                 2.638791032086088E-5-3.141586506615697i           2.9231885764022335E-5-4.44288298177557i           4.442882981871736
6951.927961775606                                 -0.0013222712950294979+1.712811303990405E-7i      2.9231885764022335E-5+4.44288298177557i           4.442882981871736
14384.498882876629                                -6.175645396197214E-5-3.1415924647204636i         -6.175645396197214E-5-3.1415924647204636i         3.141592465327458
14384.498882876629                                -2.363430377188428E-4+1.205798565921649E-7i       -6.175645396197214E-5+3.1415924647204636i         3.141592465327458
14384.498882876629                                -6.175645396197214E-5+3.1415924647204636i         -1.8687236477097009E-6-4.442883108073065i         4.442883108073458
14384.498882876629                                -2.363430377188428E-4-1.205798565921649E-7i       -1.8687236477097009E-6+4.442883108073065i         4.442883108073458
14384.498882876629                                -1.8687236477097009E-6-4.442883108073065i         -6.88824601387293E-15-2.673592706331813E-6i       2.673592706331813E-6
14384.498882876629                                -8.355541772961776E-4-6.883279570036968E-8i       -6.88824601387293E-15+2.673592706331813E-6i       2.673592706331813E-6
14384.498882876629                                -1.8687236477097009E-6+4.442883108073065i         2.0500017844585266E-5-6.283183617736165i          6.283183617769607
14384.498882876629                                -8.355541772961776E-4+6.883279570036968E-8i       2.0500017844585266E-5+6.283183617736165i          6.283183617769607
14384.498882876629                                -6.88824601387293E-15-2.673592706331813E-6i       1.0041382639542283E-4-3.141592679029269i          3.141592680634018
14384.498882876629                                -1.000000000000139+7.341754988098076E-16i         1.0041382639542283E-4+3.141592679029269i          3.141592680634018
29763.51441631313                                 -6.214566591516155E-5-3.141592639579206i          -6.214566591516155E-5-3.141592639579206i          3.141592640193876
29763.51441631313                                 -0.0055650380352977365+1.2428318464533607E-7i     -6.214566591516155E-5+3.141592639579206i          3.141592640193876
29763.51441631313                                 -6.214566591516155E-5+3.141592639579206i          -2.476998083700896E-5-4.442882786083944i          4.4428827861529925
29763.51441631313                                 -0.0055650380352977365-1.2428318464533607E-7i     -2.476998083700896E-5+4.442882786083944i          4.4428827861529925
29763.51441631313                                 -2.476998083700896E-5-4.442882786083944i          2.3532271195622308E-14-3.880342970049796E-6i      3.880342970049796E-6
29763.51441631313                                 -0.0010039903681303074+2.5200225929469274E-8i     2.3532271195622308E-14+3.880342970049796E-6i      3.880342970049796E-6
29763.51441631313                                 -2.476998083700896E-5+4.442882786083944i          6.958084909049704E-9-6.283184681606801i           6.283184681606801
29763.51441631313                                 -0.0010039903681303074-2.5200225929469274E-8i     6.958084909049704E-9+6.283184681606801i           6.283184681606801
29763.51441631313                                 2.3532271195622308E-14-3.880342970049796E-6i      6.18916493552359E-5-3.1415927106078336i           3.1415927112174886
29763.51441631313                                 -1.000000000000124+2.0348748035648502E-16i        6.18916493552359E-5+3.1415927106078336i           3.1415927112174886
61584.82110660255                                 -3.4778468194080854E-5-6.283188692559924i         -3.4778468194080854E-5-6.283188692559924i         6.283188692656176
61584.82110660255                                 -0.001434331687617544+1.459043459210407E-4i       -3.4778468194080854E-5+6.283188692559924i         6.283188692656176
61584.82110660255                                 -3.4778468194080854E-5+6.283188692559924i         -6.684604775177016E-6-3.141536485137066i          3.1415364851441776
61584.82110660255                                 -0.001434331687617544-1.459043459210407E-4i       -6.684604775177016E-6+3.141536485137066i          3.1415364851441776
61584.82110660255                                 -6.684604775177016E-6-3.141536485137066i          -6.444653931259064E-6-3.1416488165488596i         3.14164881655547
61584.82110660255                                 -8.579275032715316E-5+2.0159367844346923E-8i      -6.444653931259064E-6+3.1416488165488596i         3.14164881655547
